name,address,city,phone,category,rating,review_count,google_maps_url,permanently_closed
Richard Mayr,"Ulrich-von-Hutten-Straße 7, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 31641,Elektriker,5,1,https://www.google.com/maps/search/?api=1&query=Richard%20Mayr&query_place_id=ChIJTXnlFoNQlkcRLxeftgQOLGU,False
"ELGAWA GmbH Elektro-, Gas- und Wasserinstallationen","Horststraße 110, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 50589,Elektriker,5,1,https://www.google.com/maps/search/?api=1&query=ELGAWA%20GmbH%20Elektro-%2C%20Gas-%20und%20Wasserinstallationen&query_place_id=ChIJPaFTqVVQlkcRXu7iDg1eK0w,False
Hans-Joachim Otto und Matthias Schuster GdbR,"Talstraße 8, 76228 Karlsruhe, Deutschland",Karlsruhe,+49 721 451726,Elektriker,4.6,8,https://www.google.com/maps/search/?api=1&query=Hans-Joachim%20Otto%20und%20Matthias%20Schuster%20GdbR&query_place_id=ChIJu17eAuwOl0cRzVhFfqW2jJ0,False
Klaus Plappert Elektroinstallateurmeister,"Beunstraße 59, 76229 Karlsruhe, Deutschland",Karlsruhe,+49 172 9372422,Elektroinstallationsdienst,5,3,https://www.google.com/maps/search/?api=1&query=Klaus%20Plappert%20Elektroinstallateurmeister&query_place_id=ChIJBXAW6kgJl0cRAArVrW2QJmc,False
Wolf K.,"Rhönstraße 54, 75203 Königsbach-Stein, Deutschland",Königsbach-Stein,+49 7232 4626,Elektriker,5,2,https://www.google.com/maps/search/?api=1&query=Wolf%20K.&query_place_id=ChIJ_1RzxagMl0cR56Kj5S4j8-A,False
Elektro-Hettich GmbH,"Ringstraße 2, 76456 Kuppenheim, Deutschland",Kuppenheim,+49 7222 94510,Elektriker,5,8,https://www.google.com/maps/search/?api=1&query=Elektro-Hettich%20GmbH&query_place_id=ChIJYUnPjiAcl0cRe47AneuNDv8,False
Doll Wasserinstallation,"Arbotstraße 9, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 32189,Auftragnehmer,5,6,https://www.google.com/maps/search/?api=1&query=Doll%20Wasserinstallation&query_place_id=ChIJZ6ii53lalkcRsPKfBImAxSw,False
Matz & Jung GmbH - Gebäudetechnik,"Speyerer Str. 2, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 98570,Heizungs- und Klimatechnikbetrieb,4.3,17,https://www.google.com/maps/search/?api=1&query=Matz%20%26%20Jung%20GmbH%20-%20Geb%C3%A4udetechnik&query_place_id=ChIJyULEkLVRlkcRfB6sL3ENnGk,False
Eiselbrecher,"Gewerbegebiet Landauer Wiesen, Siemensstraße 17, 94405 Landau an der Isar, Deutschland",Landau an der Isar,+49 9951 8681,Heizungsmonteur,4.1,11,https://www.google.com/maps/search/?api=1&query=Eiselbrecher&query_place_id=ChIJXxH8tnDgC0ERwq3bhqaTQNk,False
F. Letzelter Heizung / Solar / Sanitär,"Kraftgasse 54, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 890138,Heizungsmonteur,5,8,https://www.google.com/maps/search/?api=1&query=F.%20Letzelter%20Heizung%20%2F%20Solar%20%2F%20Sanit%C3%A4r&query_place_id=ChIJqSPAnL1XlkcRJ1fplAKEn_Q,False
Jörg Schirm Sanitärtechnik GmbH,"Alexanderstraße 175, 70180 Stuttgart, Deutschland",Stuttgart,+49 711 606663,Sanitärinstallateur,4.6,9,https://www.google.com/maps/search/?api=1&query=J%C3%B6rg%20Schirm%20Sanit%C3%A4rtechnik%20GmbH&query_place_id=ChIJWdWKIFPbmUcRFfWEyYIe4d4,False
Jochen Müller,"Schillerstraße 18, 70839 Gerlingen, Deutschland",Gerlingen,+49 7156 22242,Sanitärinstallateur,5,12,https://www.google.com/maps/search/?api=1&query=Jochen%20M%C3%BCller&query_place_id=ChIJAdjFfHPZmUcRMXKjM2FWPKg,False
Rienhardt GmbH,"Mauserstraße 17, 71640 Ludwigsburg, Deutschland",Ludwigsburg,+49 7141 861386,Sanitärinstallateur,4.4,7,https://www.google.com/maps/search/?api=1&query=Rienhardt%20GmbH&query_place_id=ChIJhfgxVx_OmUcRwiefcHJ7qmM,False
Kurt Knorr GmbH & Co. KG,"Bahnhofstraße 105/1, 74321 Bietigheim-Bissingen, Deutschland",Bietigheim-Bissingen,+49 7142 51191,Sanitärinstallateur,4.9,14,https://www.google.com/maps/search/?api=1&query=Kurt%20Knorr%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJQ6Vg5XLUmUcRGeiRJaWLnIA,False
Bernd Fader,"Meterstraße 5, 70839 Gerlingen, Deutschland",Gerlingen,+49 7156 21703,Sanitärinstallateur,4.6,14,https://www.google.com/maps/search/?api=1&query=Bernd%20Fader&query_place_id=ChIJaZc1Jw3ZmUcRErb9T8dDDWM,False
Frank Breuer Installationen,"Primelweg 4, 74385 Pleidelsheim, Deutschland",Pleidelsheim,+49 7144 886567,Sanitärinstallateur,4.9,16,https://www.google.com/maps/search/?api=1&query=Frank%20Breuer%20Installationen&query_place_id=ChIJFTT2rfnSmUcRa7yofI61Um0,False
Günther Lang Malergeschäft,"Zweibrücker Str. 15, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 31320,Maler,5,2,https://www.google.com/maps/search/?api=1&query=G%C3%BCnther%20Lang%20Malergesch%C3%A4ft&query_place_id=ChIJf3PJee1QlkcRghMhvEQIuTs,False
Verputzarbeiten Knauth e.K.,"Berwartsteinstraße 27, 76829 Landau in der Pfalz, Deutschland",Landau in der Pfalz,+49 6341 32393,Auftragnehmer,4.3,6,https://www.google.com/maps/search/?api=1&query=Verputzarbeiten%20Knauth%20e.K.&query_place_id=ChIJTUCpB5FQlkcRxA02F8XQtsg,False
Raumausstattung Hess,,,+49 1515 3406489,Maler,,,https://www.google.com/maps/search/?api=1&query=Raumausstattung%20Hess&query_place_id=ChIJs8HfSi6RGqsRac8JkDfpwwk,False
wahl project GmbH,"Bayernstraße 18, 72768 Reutlingen, Deutschland",Reutlingen,+49 7121 143090,Maler,,,https://www.google.com/maps/search/?api=1&query=wahl%20project%20GmbH&query_place_id=ChIJC4TsEOHtmUcROCuz5Ou_1S0,False
